pick,pick,natural,natural
Thunderstorm,Ice,179,333
Void Strike,Darkness,838,950
Ice Age,Darkness,851,677
Shadow Veil,Ice,491,88
Winter's Wrath,Darkness,217,224
Shadow Veil,Ice,338,304
Glacial Spike,Darkness,948,874
Thunderstorm,Storm,244,193
Nightmare Curse,Ice,318,58
Glacial Spike,Storm,207,404
Infinite Darkness,Darkness,339,706
Thunderstorm,Storm,979,552
Tempest Fury,Darkness,321,229
Chain Lightning,Ice,761,379
Frozen Prison,Storm,195,570
Lightning Bolt,Darkness,443,78
Thunder Crash,Storm,936,57
Nightmare Curse,Ice,660,609
Infinite Darkness,Storm,530,378
Hurricane Call,Ice,604,500
Lightning Bolt,Storm,586,825
Infinite Darkness,Ice,812,300
Glacial Spike,Darkness,456,878
Hurricane Call,Storm,785,314
Blizzard Strike,Storm,502,298
Frostbite,Storm,231,177
Lightning Bolt,Storm,811,366
Ice Shard,Ice,63,951
Dark Nova,Storm,472,633
Ice Age,Storm,150,931
Void Strike,Storm,38,653
Thunderstorm,Ice,450,187
Ice Shard,Darkness,903,522
Dark Nova,Ice,115,414
Winter's Wrath,Storm,707,364
Dark Eclipse,Storm,84,926
Frozen Prison,Storm,414,406
Absolute Zero,Darkness,61,865
Hurricane Call,Storm,38,880
Nightmare Curse,Ice,508,318
Abyssal Wrath,Storm,348,785
Lightning Bolt,Ice,39,189
Chain Lightning,Ice,157,920
Abyssal Wrath,Darkness,644,464
Winter's Wrath,Storm,897,426
Glacial Spike,Storm,724,747
Shadow Veil,Storm,425,471
Frostbite,Ice,203,231
Dark Eclipse,Darkness,878,19
Lightning Bolt,Storm,955,673
Void Strike,Darkness,403,797
Glacial Spike,Darkness,83,891
Nightmare Curse,Darkness,303,732
Tempest Fury,Darkness,513,809
Absolute Zero,Ice,161,278
Void Strike,Storm,138,236
Thunderstorm,Storm,894,351
Frostbite,Storm,859,146
Frozen Prison,Storm,101,907
Ice Age,Ice,894,925
Frozen Prison,Darkness,494,898
Dark Nova,Darkness,535,331
Infinite Darkness,Ice,953,208
Frostbite,Ice,982,866
Hurricane Call,Darkness,526,575
Dark Nova,Storm,379,759
Lightning Bolt,Storm,310,304
Tempest Fury,Ice,536,243
Void Strike,Ice,805,420
Frostbite,Darkness,87,199
Chain Lightning,Storm,710,601
Tempest Fury,Darkness,162,631
Nightmare Curse,Ice,443,917
Frozen Prison,Darkness,362,838
Ice Shard,Darkness,865,928
Glacial Spike,Ice,287,301
Thunder Crash,Darkness,18,575
Nightmare Curse,Darkness,162,788
Chain Lightning,Darkness,998,150
Storm Surge,Ice,758,867
Abyssal Wrath,Darkness,635,501
Frostbite,Storm,302,466
Frostbite,Ice,184,702
Frostbite,Darkness,843,391
Nightmare Curse,Darkness,17,280
Thunder Crash,Darkness,413,217
Frozen Prison,Storm,83,667
Ice Shard,Storm,596,269
Storm Surge,Storm,125,627
Chain Lightning,Ice,53,422
Glacial Spike,Darkness,654,581
Glacial Spike,Storm,789,598
Tempest Fury,Storm,975,729
Absolute Zero,Storm,272,977
Dark Eclipse,Darkness,477,982
Frozen Prison,Ice,603,234
Chain Lightning,Darkness,330,362
Abyssal Wrath,Darkness,231,520
Thunderstorm,Ice,56,735
Glacial Spike,Ice,256,739
Dark Eclipse,Storm,150,984
Lightning Bolt,Darkness,100,952
Ice Shard,Darkness,370,298
Chain Lightning,Darkness,661,543
Glacial Spike,Darkness,326,791
Chain Lightning,Ice,173,807
Blizzard Strike,Ice,285,693
Frozen Prison,Ice,890,709
Infinite Darkness,Storm,50,647
Tempest Fury,Darkness,42,954
Hurricane Call,Storm,812,674
Tempest Fury,Ice,944,49
Glacial Spike,Darkness,288,441
Dark Eclipse,Darkness,266,915
Ice Shard,Storm,187,402
Frostbite,Darkness,422,951
Blizzard Strike,Storm,997,947
Storm Surge,Ice,472,546
Void Strike,Darkness,32,970
Infinite Darkness,Ice,933,265
Thunderstorm,Storm,353,211
Storm Surge,Ice,54,906
Tempest Fury,Darkness,972,81
Frozen Prison,Storm,997,705
Nightmare Curse,Storm,966,128
Blizzard Strike,Darkness,945,872
Dark Nova,Darkness,450,31
Chain Lightning,Ice,491,787
Lightning Bolt,Darkness,614,156
Ice Age,Darkness,703,722
Winter's Wrath,Darkness,855,351
Hurricane Call,Darkness,513,601
Hurricane Call,Darkness,929,394
Hurricane Call,Storm,34,339
Chain Lightning,Darkness,371,187
Ice Shard,Storm,845,406
Dark Eclipse,Darkness,372,360
Glacial Spike,Darkness,728,50
Tempest Fury,Ice,759,621
Chain Lightning,Ice,708,835
Thunderstorm,Storm,208,172
Glacial Spike,Ice,334,476
Chain Lightning,Darkness,771,894
Abyssal Wrath,Darkness,666,247
Thunderstorm,Ice,555,817
Storm Surge,Ice,712,253
Ice Shard,Darkness,7,221
Dark Nova,Storm,67,899
Thunderstorm,Storm,720,533
Dark Eclipse,Storm,2,477
Storm Surge,Ice,340,460
Nightmare Curse,Ice,676,248
Hurricane Call,Ice,668,373
Dark Nova,Storm,540,118
Glacial Spike,Darkness,930,888
Dark Nova,Ice,210,634
Glacial Spike,Storm,639,392
Thunderstorm,Ice,384,406
Frostbite,Storm,190,342
Chain Lightning,Storm,914,434
Storm Surge,Darkness,670,13
Lightning Bolt,Darkness,679,58
Frostbite,Darkness,533,312
Blizzard Strike,Darkness,763,681
Lightning Bolt,Darkness,201,977
Ice Age,Ice,203,646
Storm Surge,Ice,280,720
Void Strike,Ice,408,596
Nightmare Curse,Darkness,945,703
Frozen Prison,Storm,530,382
Ice Shard,Storm,198,800
Void Strike,Storm,802,661
Chain Lightning,Darkness,138,852
Void Strike,Ice,145,314
Storm Surge,Ice,851,398
Tempest Fury,Ice,486,432
Void Strike,Darkness,317,771
Ice Age,Darkness,225,740
Nightmare Curse,Darkness,696,810
Ice Age,Darkness,453,978
Dark Eclipse,Storm,934,676
Frozen Prison,Ice,450,992
Absolute Zero,Ice,841,723
Frozen Prison,Ice,148,559
Hurricane Call,Darkness,275,458
Glacial Spike,Ice,504,759
Hurricane Call,Storm,178,838
Thunder Crash,Storm,351,303
Ice Shard,Storm,655,975
Lightning Bolt,Ice,273,52
Absolute Zero,Storm,535,188
Ice Shard,Ice,188,177
Shadow Veil,Storm,124,435
Thunderstorm,Darkness,278,329
Thunderstorm,Ice,818,210
Lightning Bolt,Darkness,229,851
Infinite Darkness,Darkness,735,609
Thunderstorm,Storm,565,226
Glacial Spike,Darkness,818,780
Shadow Veil,Storm,809,245
Hurricane Call,Darkness,60,120
Storm Surge,Ice,542,919
Infinite Darkness,Darkness,516,934
Absolute Zero,Darkness,672,731
Absolute Zero,Storm,795,574
Frozen Prison,Darkness,206,520
Nightmare Curse,Storm,264,804
Frostbite,Storm,362,681
Frozen Prison,Darkness,687,393
Frozen Prison,Darkness,932,968
Abyssal Wrath,Ice,139,552
Absolute Zero,Storm,250,497
Storm Surge,Ice,93,911
Ice Age,Darkness,874,545
Hurricane Call,Ice,314,207
Storm Surge,Storm,576,428
Winter's Wrath,Ice,657,412
Ice Age,Darkness,752,307
Tempest Fury,Ice,814,351
Infinite Darkness,Storm,479,65
Absolute Zero,Ice,573,14
Ice Shard,Ice,979,547
Blizzard Strike,Ice,190,963
Frostbite,Storm,992,741
Ice Age,Storm,750,644
Storm Surge,Ice,751,513
Dark Eclipse,Storm,496,164
Storm Surge,Darkness,914,505
Nightmare Curse,Darkness,763,379
Ice Age,Storm,358,815
Nightmare Curse,Darkness,851,764
Storm Surge,Storm,4,378
Dark Nova,Darkness,587,62
Thunder Crash,Ice,638,698
Winter's Wrath,Storm,640,62
Absolute Zero,Storm,851,468
Dark Eclipse,Storm,634,160
Hurricane Call,Storm,719,932
Tempest Fury,Darkness,458,939
Frostbite,Darkness,404,938
Hurricane Call,Ice,698,968
Lightning Bolt,Storm,550,569
Dark Nova,Ice,861,559
Blizzard Strike,Storm,734,624
Dark Nova,Ice,1,463
Ice Age,Ice,90,185
Tempest Fury,Darkness,530,976
Dark Eclipse,Ice,237,734
Infinite Darkness,Darkness,461,918
Nightmare Curse,Storm,257,184
Storm Surge,Ice,378,17
Lightning Bolt,Ice,987,525
Hurricane Call,Ice,868,689
Ice Age,Ice,194,358
Ice Shard,Darkness,161,985
Glacial Spike,Ice,777,645
Chain Lightning,Darkness,630,140
Absolute Zero,Darkness,616,631
Chain Lightning,Storm,645,882
Dark Eclipse,Ice,105,955
Abyssal Wrath,Darkness,326,996
Chain Lightning,Ice,885,131
Chain Lightning,Storm,321,430
Ice Age,Darkness,555,19
Ice Age,Ice,677,503
Frozen Prison,Darkness,970,825
Shadow Veil,Darkness,509,907
Hurricane Call,Ice,401,558
Winter's Wrath,Ice,897,89
Thunderstorm,Darkness,925,488
Void Strike,Darkness,399,797
Thunderstorm,Ice,41,258
Absolute Zero,Ice,696,882
Hurricane Call,Ice,843,63
Hurricane Call,Darkness,768,835
Dark Nova,Ice,379,333
Shadow Veil,Ice,189,298
Glacial Spike,Darkness,243,429
Dark Nova,Storm,792,857
Infinite Darkness,Ice,775,851
Dark Nova,Ice,54,655
Nightmare Curse,Darkness,473,961
Thunder Crash,Storm,926,916
Frozen Prison,Darkness,442,422
Glacial Spike,Ice,315,411
Nightmare Curse,Ice,570,41
Shadow Veil,Storm,184,276
Dark Eclipse,Ice,200,432
Blizzard Strike,Ice,742,286
Thunderstorm,Storm,142,864
Tempest Fury,Darkness,110,153
Thunder Crash,Storm,213,912
Absolute Zero,Ice,817,842
Thunder Crash,Ice,975,463
Tempest Fury,Storm,657,533
Blizzard Strike,Ice,452,833
Tempest Fury,Storm,914,675
Abyssal Wrath,Storm,987,882
Glacial Spike,Darkness,513,646
Ice Shard,Ice,373,601
Infinite Darkness,Storm,334,289
Absolute Zero,Darkness,472,416
Winter's Wrath,Storm,818,131
Nightmare Curse,Darkness,509,105
Thunder Crash,Darkness,877,636
Blizzard Strike,Ice,483,574
Void Strike,Storm,83,489
Shadow Veil,Darkness,137,106
Dark Nova,Storm,791,882
Dark Nova,Storm,876,796
Thunderstorm,Storm,180,158
Infinite Darkness,Darkness,312,317
Blizzard Strike,Ice,2,281
Tempest Fury,Ice,703,5
Lightning Bolt,Ice,741,621
Thunderstorm,Ice,572,81
Ice Age,Ice,868,959
Nightmare Curse,Storm,805,940
Infinite Darkness,Ice,787,518
Thunder Crash,Ice,3,917
Hurricane Call,Ice,572,589
Blizzard Strike,Storm,137,1
Abyssal Wrath,Ice,90,974
Winter's Wrath,Darkness,283,951
Tempest Fury,Ice,334,434
Winter's Wrath,Storm,214,328
Winter's Wrath,Storm,320,813
Tempest Fury,Storm,372,635
Infinite Darkness,Storm,259,800
Glacial Spike,Storm,382,388
Glacial Spike,Ice,45,50
Ice Age,Storm,475,84
Ice Age,Storm,597,527
Shadow Veil,Darkness,578,458
Lightning Bolt,Darkness,317,111
Ice Age,Darkness,625,220
Absolute Zero,Storm,660,210
Blizzard Strike,Darkness,761,979
Ice Age,Darkness,507,212
Abyssal Wrath,Storm,870,852
Winter's Wrath,Storm,74,560
Dark Eclipse,Ice,601,863
Ice Shard,Darkness,417,546
Thunderstorm,Storm,717,789
Frozen Prison,Ice,401,736
Frostbite,Ice,916,657
Frostbite,Storm,633,271
Ice Age,Ice,125,952
Blizzard Strike,Storm,80,593
Hurricane Call,Ice,809,556
Winter's Wrath,Ice,724,952
Winter's Wrath,Storm,140,224
Lightning Bolt,Darkness,292,601
Thunder Crash,Ice,659,910
Infinite Darkness,Darkness,42,180
Chain Lightning,Darkness,111,195
Frozen Prison,Ice,565,353
Shadow Veil,Darkness,96,577
Thunder Crash,Darkness,872,747
Dark Eclipse,Ice,632,596
Frozen Prison,Ice,655,10
Nightmare Curse,Darkness,188,94
Blizzard Strike,Storm,483,489
Dark Nova,Ice,516,596
Ice Shard,Ice,203,295
Thunderstorm,Darkness,128,388
Thunderstorm,Darkness,867,266
Hurricane Call,Ice,358,734
Lightning Bolt,Storm,783,222
Glacial Spike,Ice,961,111
Shadow Veil,Ice,420,281
Glacial Spike,Darkness,732,68
Lightning Bolt,Storm,453,971
Chain Lightning,Darkness,434,350
Abyssal Wrath,Darkness,679,277
Abyssal Wrath,Storm,197,581
Dark Nova,Ice,706,36
Ice Shard,Darkness,841,650
Hurricane Call,Storm,339,884
Blizzard Strike,Storm,990,457
Ice Shard,Darkness,227,64
Abyssal Wrath,Ice,330,45
Winter's Wrath,Ice,446,717
Chain Lightning,Darkness,508,752
Nightmare Curse,Darkness,383,241
Hurricane Call,Storm,205,404
Abyssal Wrath,Storm,146,493
Tempest Fury,Darkness,873,286
Blizzard Strike,Ice,130,202
Frozen Prison,Storm,442,114
Ice Age,Darkness,737,903
Nightmare Curse,Darkness,179,302
Tempest Fury,Storm,111,423
Ice Shard,Darkness,860,105
Absolute Zero,Storm,988,677
Frostbite,Darkness,25,726
Winter's Wrath,Darkness,133,71
Chain Lightning,Ice,946,66
Thunderstorm,Ice,916,722
Ice Age,Ice,220,962
Winter's Wrath,Darkness,523,242
Blizzard Strike,Darkness,108,567
Dark Nova,Ice,709,596
Absolute Zero,Ice,99,923
Absolute Zero,Storm,721,441
Ice Shard,Darkness,526,94
Ice Age,Storm,620,422
Dark Eclipse,Storm,124,634
Thunder Crash,Darkness,630,135
Frozen Prison,Storm,274,158
Thunderstorm,Storm,320,685
Ice Age,Ice,254,424
Infinite Darkness,Storm,701,249
Ice Shard,Darkness,631,253
Frozen Prison,Storm,702,672
Thunderstorm,Darkness,426,53
Void Strike,Ice,34,482
Blizzard Strike,Storm,338,423
Ice Age,Storm,781,877
Glacial Spike,Storm,898,737
Glacial Spike,Storm,599,481
Storm Surge,Darkness,208,982
Chain Lightning,Ice,797,593
Nightmare Curse,Ice,703,621
Chain Lightning,Ice,121,502
Frostbite,Darkness,972,25
Dark Nova,Storm,871,72
Frostbite,Darkness,695,310
Winter's Wrath,Darkness,64,319
Frostbite,Darkness,979,163
Ice Age,Ice,544,27
Shadow Veil,Storm,983,357
Frozen Prison,Storm,762,884
Void Strike,Darkness,206,542
Storm Surge,Storm,177,340
Ice Age,Ice,398,328
Chain Lightning,Storm,733,775
Absolute Zero,Storm,280,187
Lightning Bolt,Darkness,556,164
Storm Surge,Darkness,0,507
Storm Surge,Ice,255,887
Frozen Prison,Storm,45,124
Lightning Bolt,Ice,651,475
Shadow Veil,Darkness,690,740
Tempest Fury,Storm,443,343
Frozen Prison,Ice,344,240
Dark Eclipse,Ice,582,799
Frostbite,Ice,565,104
Tempest Fury,Storm,776,38
Frostbite,Darkness,803,473
Thunder Crash,Storm,572,760
Absolute Zero,Ice,493,695
Storm Surge,Storm,68,137
Ice Age,Ice,816,622
Shadow Veil,Storm,21,479
Shadow Veil,Ice,586,976
Infinite Darkness,Darkness,905,895
Blizzard Strike,Darkness,532,370
Frostbite,Ice,888,826
Frostbite,Darkness,269,867
Absolute Zero,Ice,100,647
Tempest Fury,Ice,85,443
Ice Age,Darkness,102,778
Abyssal Wrath,Ice,894,330
Absolute Zero,Ice,539,409
Dark Nova,Storm,735,932
Dark Eclipse,Ice,86,219
Tempest Fury,Darkness,576,179
Ice Shard,Storm,528,761
Chain Lightning,Ice,273,470
Glacial Spike,Darkness,531,912
Blizzard Strike,Darkness,433,375
Blizzard Strike,Storm,532,741
Dark Eclipse,Darkness,852,285
Shadow Veil,Darkness,949,690
Frostbite,Darkness,728,632
Dark Nova,Ice,478,930
Thunder Crash,Ice,262,23
Ice Age,Darkness,544,115
Storm Surge,Ice,885,163
Nightmare Curse,Ice,247,698
Lightning Bolt,Storm,247,931
Void Strike,Storm,700,201
Abyssal Wrath,Ice,111,799
Chain Lightning,Ice,682,157
Frozen Prison,Ice,762,564
Lightning Bolt,Darkness,188,424
Ice Age,Ice,895,252
Ice Shard,Darkness,937,642
Nightmare Curse,Darkness,646,23
Absolute Zero,Storm,360,644
Chain Lightning,Darkness,925,223
Chain Lightning,Ice,867,231
Thunder Crash,Ice,989,153
Ice Age,Ice,922,566
Chain Lightning,Darkness,865,245
Shadow Veil,Storm,634,480
Chain Lightning,Ice,353,576
Abyssal Wrath,Storm,817,845
Chain Lightning,Darkness,818,19
Void Strike,Ice,546,425
Dark Eclipse,Storm,352,956
Winter's Wrath,Darkness,475,725
Dark Eclipse,Storm,301,583
Storm Surge,Darkness,443,380
Winter's Wrath,Darkness,533,6
Void Strike,Darkness,232,487
Blizzard Strike,Ice,607,706
Thunder Crash,Storm,611,365
Winter's Wrath,Storm,484,946
Frozen Prison,Storm,904,631
Absolute Zero,Darkness,278,250
Frostbite,Darkness,602,913
Thunderstorm,Darkness,153,827
Storm Surge,Storm,972,161
Tempest Fury,Ice,796,463
Blizzard Strike,Storm,537,296
Abyssal Wrath,Darkness,302,286
Void Strike,Storm,222,79
Frozen Prison,Darkness,169,374
Nightmare Curse,Darkness,786,704
Ice Age,Ice,285,783
Ice Shard,Storm,468,536
Storm Surge,Ice,318,618
Frostbite,Darkness,658,911
Glacial Spike,Storm,615,870
Dark Nova,Storm,125,861
Shadow Veil,Darkness,494,57
Blizzard Strike,Storm,443,281
Infinite Darkness,Storm,164,208
Ice Age,Storm,869,515
Glacial Spike,Darkness,113,508
Winter's Wrath,Ice,527,508
Tempest Fury,Darkness,215,560
Winter's Wrath,Ice,393,951
Chain Lightning,Ice,127,502
Chain Lightning,Storm,713,933
Lightning Bolt,Storm,415,724
Ice Shard,Storm,438,543
Dark Nova,Ice,419,848
Dark Eclipse,Storm,825,654
Chain Lightning,Ice,319,252
Frostbite,Storm,269,387
Ice Shard,Darkness,548,204
Nightmare Curse,Darkness,674,307
Glacial Spike,Darkness,357,757
Ice Age,Darkness,159,897
Blizzard Strike,Storm,737,765
Abyssal Wrath,Darkness,602,555
Ice Age,Storm,405,93
Absolute Zero,Storm,614,47
Frozen Prison,Storm,843,601
Infinite Darkness,Storm,202,126
Thunderstorm,Ice,0,509
Hurricane Call,Darkness,820,196
Winter's Wrath,Storm,816,912
Shadow Veil,Ice,457,95
Ice Age,Ice,237,365
Infinite Darkness,Ice,464,900
Absolute Zero,Storm,283,73
Blizzard Strike,Darkness,96,862
Frostbite,Ice,170,446
Abyssal Wrath,Ice,407,551
Thunderstorm,Ice,147,685
Chain Lightning,Darkness,852,15
Dark Nova,Darkness,153,428
Ice Age,Storm,303,506
Glacial Spike,Ice,64,950
Ice Shard,Storm,944,362
Storm Surge,Storm,458,54
Winter's Wrath,Storm,949,265
Tempest Fury,Darkness,476,366
Shadow Veil,Darkness,46,383
Blizzard Strike,Storm,107,634
Thunderstorm,Ice,271,977
Infinite Darkness,Darkness,92,192
Absolute Zero,Darkness,578,622
Shadow Veil,Darkness,524,682
Lightning Bolt,Darkness,404,958
Nightmare Curse,Storm,937,762
Nightmare Curse,Ice,228,842
Dark Nova,Darkness,683,751
Infinite Darkness,Darkness,89,593
Absolute Zero,Storm,293,921
Blizzard Strike,Ice,827,648
Shadow Veil,Storm,966,730
Void Strike,Ice,252,987
Storm Surge,Ice,254,29
Hurricane Call,Ice,785,478
Tempest Fury,Ice,448,630
Chain Lightning,Ice,814,192
Tempest Fury,Darkness,472,214
Lightning Bolt,Darkness,878,278
Hurricane Call,Storm,661,736
Glacial Spike,Storm,717,549
Thunder Crash,Storm,616,410
Nightmare Curse,Ice,80,573
Shadow Veil,Darkness,1000,29
Thunder Crash,Storm,934,378
Tempest Fury,Storm,65,128
Thunderstorm,Ice,86,773
Lightning Bolt,Storm,179,312
Winter's Wrath,Ice,414,425
Ice Shard,Ice,258,181
Glacial Spike,Ice,125,525
Winter's Wrath,Storm,668,272
Absolute Zero,Ice,113,532
Blizzard Strike,Storm,150,821
Thunderstorm,Darkness,205,94
Glacial Spike,Darkness,0,278
Dark Nova,Storm,770,905
Absolute Zero,Storm,73,230
Winter's Wrath,Darkness,191,255
Infinite Darkness,Storm,720,552
Winter's Wrath,Storm,805,223
Thunder Crash,Storm,798,313
Lightning Bolt,Storm,75,663
Abyssal Wrath,Darkness,908,362
Storm Surge,Storm,992,434
Ice Shard,Darkness,460,126
Frostbite,Darkness,367,438
Abyssal Wrath,Ice,810,65
Absolute Zero,Ice,361,751
Void Strike,Storm,412,904
Absolute Zero,Ice,162,906
Chain Lightning,Ice,496,248
Thunderstorm,Storm,382,818
Shadow Veil,Darkness,447,157
Glacial Spike,Storm,580,742
Hurricane Call,Storm,107,939
Chain Lightning,Ice,774,131
Abyssal Wrath,Darkness,126,749
Tempest Fury,Storm,453,659
Winter's Wrath,Darkness,751,581
Ice Shard,Ice,463,565
Void Strike,Ice,790,225
Infinite Darkness,Darkness,473,978
Ice Shard,Darkness,805,717
Dark Nova,Ice,548,296
Infinite Darkness,Storm,629,920
Thunderstorm,Storm,428,216
Chain Lightning,Ice,540,548
Lightning Bolt,Ice,65,801
Storm Surge,Darkness,848,932
Chain Lightning,Storm,493,239
Lightning Bolt,Storm,334,894
Storm Surge,Darkness,296,174
Blizzard Strike,Darkness,65,420
Void Strike,Storm,576,335
Storm Surge,Ice,125,500
Dark Eclipse,Darkness,759,893
Hurricane Call,Ice,754,353
Ice Shard,Storm,692,731
Ice Shard,Storm,466,63
Ice Age,Ice,815,877
Glacial Spike,Storm,842,127
Ice Shard,Storm,112,251
Thunderstorm,Storm,10,335
Glacial Spike,Ice,736,970
Shadow Veil,Ice,302,646
Thunder Crash,Ice,737,943
Frozen Prison,Ice,874,33
Infinite Darkness,Storm,55,899
Shadow Veil,Darkness,596,639
Thunder Crash,Storm,112,986
Frostbite,Ice,330,496
Absolute Zero,Storm,557,177
Ice Shard,Darkness,87,587
Ice Age,Darkness,398,4
Lightning Bolt,Darkness,293,486
Dark Eclipse,Storm,117,214
Shadow Veil,Ice,994,385
Blizzard Strike,Storm,580,218
Tempest Fury,Storm,889,393
Thunder Crash,Ice,620,669
Storm Surge,Ice,364,12
Tempest Fury,Darkness,884,501
Frozen Prison,Storm,98,725
Winter's Wrath,Ice,828,295
Tempest Fury,Darkness,711,107
Shadow Veil,Ice,105,66
Frostbite,Darkness,999,187
Ice Age,Ice,867,609
Infinite Darkness,Ice,235,248
Nightmare Curse,Storm,777,936
Thunderstorm,Storm,772,541
Abyssal Wrath,Storm,309,738
Dark Eclipse,Darkness,5,875
Frozen Prison,Storm,826,707
Frozen Prison,Storm,890,736
Ice Shard,Storm,966,927
Thunderstorm,Storm,301,524
Nightmare Curse,Ice,982,829
Frostbite,Ice,353,934
Storm Surge,Darkness,904,588
Shadow Veil,Darkness,588,350
Ice Age,Darkness,417,318
Dark Nova,Storm,131,868
Shadow Veil,Darkness,426,481
Winter's Wrath,Ice,987,332
Hurricane Call,Ice,317,980
Void Strike,Darkness,662,414
Shadow Veil,Storm,735,66
Dark Nova,Storm,615,66
Void Strike,Storm,858,160
Ice Shard,Storm,664,765
Void Strike,Darkness,557,181
Hurricane Call,Ice,360,718
Frozen Prison,Darkness,777,271
Winter's Wrath,Storm,647,85
Thunder Crash,Ice,882,778
Storm Surge,Darkness,957,854
Blizzard Strike,Darkness,51,737
Dark Nova,Ice,485,964
Abyssal Wrath,Darkness,14,867
Chain Lightning,Darkness,404,287
Tempest Fury,Darkness,548,502
Thunder Crash,Ice,802,973
Frozen Prison,Storm,169,777
Tempest Fury,Darkness,901,889
Glacial Spike,Ice,6,387
Frostbite,Darkness,297,566
Infinite Darkness,Ice,404,617
Nightmare Curse,Ice,154,662
Glacial Spike,Ice,894,864
Chain Lightning,Darkness,912,762
Frostbite,Ice,318,385
Dark Eclipse,Darkness,195,663
Abyssal Wrath,Ice,250,482
Infinite Darkness,Ice,239,411
Lightning Bolt,Storm,65,579
Dark Eclipse,Ice,597,287
Blizzard Strike,Darkness,92,639
Ice Age,Darkness,232,173
Frostbite,Ice,961,225
Tempest Fury,Ice,129,60
Ice Shard,Darkness,425,848
Thunder Crash,Storm,539,268
Frostbite,Storm,292,973
Winter's Wrath,Ice,524,738
Chain Lightning,Ice,630,312
Abyssal Wrath,Storm,836,826
Shadow Veil,Ice,863,278
Frostbite,Ice,611,917
Glacial Spike,Darkness,116,318
Dark Nova,Darkness,468,370
Ice Shard,Storm,501,84
Thunderstorm,Ice,171,672
Infinite Darkness,Ice,220,51
Thunderstorm,Darkness,488,631
Thunder Crash,Darkness,186,976
Chain Lightning,Ice,283,827
Frostbite,Darkness,608,252
Blizzard Strike,Darkness,509,790
Dark Nova,Storm,819,127
Chain Lightning,Storm,588,396
Ice Shard,Ice,145,395
Ice Age,Ice,23,939
Lightning Bolt,Ice,464,524
Shadow Veil,Ice,293,820
Absolute Zero,Ice,950,649
Ice Age,Ice,167,904
Void Strike,Ice,276,88
Ice Shard,Ice,798,471
Nightmare Curse,Storm,173,334
Glacial Spike,Ice,239,283
Nightmare Curse,Darkness,786,151
Ice Shard,Storm,424,822
Frozen Prison,Darkness,665,155
Ice Age,Ice,917,60
Absolute Zero,Ice,228,808
Frostbite,Storm,147,422
Winter's Wrath,Darkness,410,622
Ice Age,Storm,534,206
Shadow Veil,Darkness,678,784
Nightmare Curse,Ice,135,973
Thunderstorm,Ice,544,399
Shadow Veil,Ice,209,824
Void Strike,Storm,352,913
Thunderstorm,Darkness,87,169
Glacial Spike,Darkness,390,233
Nightmare Curse,Darkness,626,84
Abyssal Wrath,Darkness,171,159
Glacial Spike,Darkness,916,389
Shadow Veil,Storm,863,811
Ice Shard,Darkness,825,831
Nightmare Curse,Storm,531,832
Dark Eclipse,Ice,863,459
Void Strike,Ice,913,226
Ice Age,Darkness,506,557
Ice Shard,Ice,116,50
Blizzard Strike,Ice,355,673
Blizzard Strike,Ice,908,375
Winter's Wrath,Ice,528,85
Dark Nova,Ice,717,189
Absolute Zero,Ice,598,927
Chain Lightning,Darkness,121,971
Ice Age,Ice,863,45
Nightmare Curse,Darkness,83,279
Frostbite,Storm,69,34
Lightning Bolt,Storm,481,9
Dark Nova,Storm,603,935
Chain Lightning,Darkness,554,826
Blizzard Strike,Storm,257,258
Nightmare Curse,Darkness,344,114
Void Strike,Ice,369,739
Void Strike,Ice,687,924
Absolute Zero,Darkness,99,929
Frozen Prison,Ice,345,689
Tempest Fury,Storm,501,463
Thunder Crash,Storm,206,154
Infinite Darkness,Ice,424,385
Frostbite,Ice,628,959
Ice Shard,Ice,30,535
Abyssal Wrath,Darkness,848,938
Lightning Bolt,Darkness,711,999
Frostbite,Darkness,684,847
Thunderstorm,Darkness,301,469
Dark Eclipse,Storm,355,371
Void Strike,Storm,731,616
Hurricane Call,Storm,754,35
Winter's Wrath,Ice,211,539
Abyssal Wrath,Darkness,679,46
Glacial Spike,Ice,911,701
Winter's Wrath,Darkness,143,734
Thunder Crash,Storm,184,343
Abyssal Wrath,Storm,374,231
Dark Eclipse,Darkness,768,374
Tempest Fury,Storm,707,513
Dark Eclipse,Storm,552,164
Frozen Prison,Ice,503,674
Dark Eclipse,Storm,73,878
Nightmare Curse,Storm,507,62
Thunderstorm,Darkness,366,32
Hurricane Call,Storm,542,405
Dark Eclipse,Ice,965,41
Dark Nova,Ice,540,749
Void Strike,Darkness,272,974
Dark Nova,Storm,788,269
Dark Eclipse,Ice,310,233
Dark Nova,Storm,55,717
Nightmare Curse,Darkness,302,303
Void Strike,Ice,207,528
Hurricane Call,Storm,3,253
Glacial Spike,Storm,621,975
Chain Lightning,Ice,540,921
Winter's Wrath,Storm,971,490
Blizzard Strike,Darkness,291,687
Blizzard Strike,Ice,257,159
Void Strike,Storm,541,419
Nightmare Curse,Darkness,946,19
Thunderstorm,Darkness,568,477
Frozen Prison,Darkness,886,694
Ice Age,Ice,44,179
Chain Lightning,Darkness,986,496
Hurricane Call,Ice,823,429
Winter's Wrath,Ice,379,716
Ice Shard,Ice,281,777
Nightmare Curse,Darkness,731,763
Ice Shard,Darkness,676,862
Chain Lightning,Ice,332,350
